ogc_fid,m_per_year,aquifer,broader
1383,-0.00484909,Flint Hill,Osage Cues
1384,0.07262041,Osage Plai,Osage Cues
1385,0.0856488,Gypsum Hil,-
1431,0.05382754,San Fernan,-
1432,0.17155857,Western Sa,San Gabrie
1576,0.01475,Dublin Bas,-
1433,0.07493,Eastern Sa,San Gabrie
1434,0.05195455,Southern S,San Gabrie
1435,0.06125653,Raymond Ba,-
1577,0.10879167,Mangaluru,-
1436,0.15129164,Eastern Sa,-
1437,-0.02215811,Pajaro Val,-
1438,-0.00484199,Santa Cruz,-
1439,0.03496764,Half Moon,-
1440,0.015494,Livermore,-
1441,0.0034544,San Ramon,-
1442,0.009906,Ygnacio Va,-
1443,0.021336,Clayton Ba,-
1444,-0.00104775,Pittsburg,-
1445,0.00809897,Petaluma V,-
1446,0.014732,Sonoma Val,-
1447,0.09248792,Kenwood Va,-
1448,0.00336239,East Bay P,-
1449,0.01045029,San Mateo,-
1450,0.010668,Niles Cone,-
1451,0.088773,North San,Gilroy-Hol
1452,0.03243943,Llagas Are,Gilroy-Hol
1453,0.13546667,Panoche Va,-
1454,0.56672467,Pleasant V,-
1455,0.37033333,Northern K,-
1456,0.432308,Southern K,-
1457,0.02068286,Big Valley,-
1458,-0.0031242,Scotts Val,-
1459,-5.2251E-4,Ukiah Vall,-
1460,0.07398327,Anderson V,-
1461,0.06075363,Covelo Rou,-
1462,0.011176,Little Lak,-
1463,-0.0086868,Fort Bragg,-
1464,1.17565714,White Wolf,Tulare Bas
1465,0.60325333,Southern K,Tulare Bas
1466,0.3271525,Antelope P,Tulare Bas
1467,0.9934575,Northern K,Tulare Bas
1468,0.80357563,Tule Basin,Tulare Bas
1469,0.878332,Kaweah Bas,Tulare Bas
1470,0.44021375,Tulare Lak,Tulare Bas
1471,0.64101996,Westside B,Tulare Bas
1472,0.48897556,Kings Basi,Tulare Bas
1473,0.69224227,Madera Bas,San Joaqui
1474,0.39804452,Merced Bas,San Joaqui
1475,0.08007367,Modesto Ba,San Joaqui
1476,0.11797907,Cosumnes B,San Joaqui
1477,0.0508,Delta-Mend,San Joaqui
1478,0.02286,Tracy Basi,San Joaqui
1479,-0.0507365,Eastern Sa,San Joaqui
1480,0.16764,Turlock Ba,San Joaqui
1481,1.01756308,Chowchilla,San Joaqui
1482,0.01995055,East Contr,San Joaqui
1483,0.03545114,Solano Bas,Sacramento
1484,0.01246909,North Yuba,Sacramento
1485,0.1662352,Vina Basin,Sacramento
1486,-0.05611858,South Amer,Sacramento
1487,0.01591567,South Yuba,Sacramento
1488,0.0648589,Central Co,Sacramento
1489,0.31242,Northern C,Sacramento
1490,0.018288,Southern C,Sacramento
1491,0.06096,Wyandotte,Sacramento
1492,0.02612571,Butte Basi,Sacramento
1493,0.004572,North Amer,Sacramento
1494,0.05075382,Yolo Basin,Sacramento
1495,0.03002973,Eastern Su,Sacramento
1496,0.0203835,Western Su,Sacramento
1497,0.07271892,Red Bluff,Sacramento
1498,0.17052925,Antelope B,Sacramento
1499,0.32385156,Corning Ba,Sacramento
1500,0.1183005,Los Molino,Sacramento
1501,0.05499083,Santa Moni,Los Angele
1502,0.04478892,Hollywood,Los Angele
1503,0.124587,Central Ba,Los Angele
1504,-0.01862667,West Coast,Los Angele
1505,2.2316E-4,Orange Cou,Los Angele
1506,-0.05375,Oak Ridges,-
1507,0.0707136,Black Warr,-
1508,0.14086143,Southern G,-
1509,0.00775305,South Fork,-
1510,0.49471385,Alturas Wa,-
1511,0.009525,Big Valley,-
1512,0.01001486,Fall River,-
1513,-0.22352,Madeline P,-
1514,0.0170688,Willow Cre,-
1515,0.51760582,Secret Val,-
1516,0.075438,Chino Basi,Upper Sant
1517,0.476377,San Bernar,Upper Sant
1518,0.09862057,Riverside-,Upper Sant
1519,0.14859,Temescal B,Upper Sant
1520,-0.202845,Yucaipa Ba,-
1521,0.09707667,San Timote,-
1522,0.28461538,Poza Rica,-
1523,0.00339286,Lower Rio,Rio Paz Aq
1524,-0.01477679,Sonsonate,-
1525,0.08729167,Cara Sucia,-
1526,-0.06291667,Western Sa,Salvadoran
1527,0.03875,Eastern Sa,Salvadoran
1528,0.129,Zapotitan,-
1529,-0.03,Santa Ana,-
1530,0.03523129,Presidio-R,-
1531,0.08812771,Red River,-
1532,0.0329085,Southern M,Mekong Del
1533,0.1227399,Eastern Me,Mekong Del
1534,-0.00846667,Ha Tinh Co,-
1535,-0.03625,Osaka Plai,-
1536,-0.0275,Nara Basin,-
1537,-0.03792857,Kyoto Basi,-
1538,-0.01333333,Kinokawa V,-
1539,-0.01166667,Yoshino Ba,-
1540,-0.00177083,Shigenobu-,-
1541,-0.20904223,Western Ch,Chikugo-Sa
1542,-0.06658093,Central Ch,Chikugo-Sa
1543,-0.01655952,Toyooka Ba,-
1544,-0.00916667,West-centr,Kanto Plai
1545,0.01958333,Northweste,Kanto Plai
1546,-0.0055625,Hiroshima,-
1547,-0.10708333,Kuzuryu Ba,-
1548,-9.1667E-4,Tedori All,-
1549,-0.06348214,Sendai Riv,-
1550,0.016125,Asahikawa,-
1551,-0.0185,Limmat Val,-
1552,0.167,Wiggertal,-
1553,-0.00120833,North Seel,-
1554,0.01164547,Middle-Upp,Baltic Art
1555,0.00142857,Western Fo,-
1556,-0.13733333,Southern M,-
1557,0.06833333,Geer Basin,-
1558,0.01722222,Mons Sedim,-
1559,0.07625,Brussels S,-
1560,0.0225,Tournaisis,-
1561,-0.13034028,Bierzo Bas,-
1562,-0.00470833,Xinzo de L,-
1563,0.10441667,Tietar Val,-
1564,-0.5765625,Moraleja A,-
1565,-0.05625,Galisteo A,-
1566,0.004375,Vitoria-Ga,-
1567,0.02866071,Roussillon,-
1578,0.13833333,Central Co,-
1579,0.05,Southern C,-
1580,0.014,Lyonnais a,-
1581,0.03314394,Dauphine M,-
1582,-0.00534632,Oja Alluvi,-
1583,-0.00125,Lillo-Quin,-
1584,0.02427083,Consuegra-,-
1585,0.0025,Tejo Alluv,-
1586,-0.21077381,Campina de,-
1587,-0.375,Ayamonte-H,-
1588,0.01607143,Western Do,-
1589,0.00647687,Ryan Flat,Salt Basin
1590,0.598932,Lobo Flat,Salt Basin
1591,0.19152938,Wild Horse,Salt Basin
1592,0.03048,Northern H,-
1593,-0.14966769,Lipan Flat,-
1594,-0.00380952,West Jutla,-
1595,-0.013625,West Zeala,-
1596,-0.022,Northeast,-
1597,0.038,Djursland,-
1598,0.02859375,Marana-Cas,-
1599,0.14909091,Lhasa Vall,-
1600,0.09298864,Lampang Ba,-
1601,-0.04682692,Northern P,-
1602,-0.06309028,Burdekin D,-
1603,0.17444444,Lachlan Al,-
1604,0.8265625,Semirom Ba,-
1605,1.19625,Eastern Lo,Lordegan B
1606,0.55171875,Western Lo,Lordegan B
1607,1.76818182,Eastern Ko,Kome Basin
1608,0.41985714,Western Ko,Kome Basin
1609,0.36944444,Deh Bid Ba,-
1610,1.72916667,Western Fa,-
1611,0.45,Eastern Fa,-
1612,1.17375,Deh Kahan,-
1613,0.35392857,Shah Gheyb,-
1614,0.24,Upper Rust,-
1615,0.58833333,Dezhgah-Ko,-
1616,0.29601136,Chahghah B,-
1617,0.50291667,Baghan Bas,-
1618,0.1725,Khane Ket,-
1619,2.68,Baladeh Ba,-
1620,0.15508333,Sidon Basi,-
1621,0.02313988,Dalon Basi,-
1622,-0.13916667,Lishtar Ba,-
1623,0.26454545,Takht Dera,-
1624,0.738125,Reyosh Bas,-
1625,0.436875,Yengejeh B,-
1626,0.19875,Daryache N,-
1627,-0.01,Shiramin B,-
1628,-0.01136553,Tafresh Ba,-
1629,0.08,Kouhbanan,-
1630,0.43665865,Islam Abad,-
1631,-0.00343242,Northern G,-
1632,0.02527778,Matanza-Ri,-
1633,0.48575,Vanrhynsdo,-
1634,0.35671181,Gandoman-B,-
1635,0.08891667,Pirie Basi,-
1636,0.08471861,Willchra B,-
1637,0.04283333,Booborowie,-
1638,-0.08574449,Don River,-
1639,-0.03045455,Proserpine,-
1640,-0.011,Lower Herb,-
1641,-0.00836806,Mulgrave A,-
1642,-0.08625,Arriga Fla,-
1643,0.08255952,Ivanhoe an,-
1644,-0.271875,Weaber Pla,-
1645,-0.345625,Knox Creek,-
1646,-0.05375,Keep River,-
1647,0.05,Mantinea F,-
1648,-0.01734094,Carmel Val,-
1649,-0.03130062,Tahoe Vall,-
1650,-0.00413657,Smith Rive,-
1651,0.00925,Astian Aqu,-
1652,-0.015,Grande Ter,-
1653,-0.06331597,Rheintal A,-
1654,-0.0401875,Ljubljana,Ljubljana
1655,-0.04008333,Ljubljana,Ljubljana
1656,-0.0325,Eastern Ce,Celje Basi
1657,-0.062,Eastern Is,Isonzo-Soc
1658,0.02271429,Sofia Neog,-
1659,0.02866071,Malm Valan,-
1660,0.0190625,Lom- Pleve,-
1661,0.01733333,Kazanlak K,-
1662,0.12595055,Western Na,Baoule-Mos
1663,-0.01,Grazer Fel,-
1664,0.018625,Leibnitzer,-
1665,0.02428274,Lower Mur,-
1666,-0.07833333,Krsko-Brez,-
1667,0.01267784,San Agusti,-
1668,-0.00394444,Salzburg B,-
1669,-0.003125,Northern M,Souss-Chto
1670,0.305,Lower Sous,Souss-Chto
1671,1.03784091,Central So,Souss-Chto
1672,-0.00348214,Upper Sous,Souss-Chto
1673,-0.01017228,Guelmim Ba,-
1674,0.02020833,Middle Tat,-
1675,0.0628125,Taznakht P,-
1676,0.01416667,Western Ou,-
1677,-0.17090625,Mezguita O,Middle Dra
1678,0.05111538,Tinzouline,Middle Dra
1679,-0.08925,Temata Oas,Middle Dra
1680,0.0890625,Fezouata O,Middle Dra
1681,0.06833333,Ktaoua Oas,Middle Dra
1682,0.14352273,Mhamid Oas,Middle Dra
1683,-0.18129464,Western Ga,-
1684,-0.27196181,Coastal Aq,-
1685,-0.11454545,Northern S,-
1686,0.54,Upper Beic,Huangshui
1687,-0.06636364,Nanchuan A,Huangshui
1688,0.14818182,Xinachuan,Huangshui
1689,-0.07727273,Lanzhou Va,-
1690,0.635,Wuhai Basi,-
1691,0.17465386,Pauma Vall,-
1692,-0.09454545,Golmud All,-
1693,0.18295455,Urumqi Val,Junggar Ba
