ogc_fid,m_per_year,aquifer,broader
1568,0.05242857,Forez Plai,-
241,-0.0146685,Eastern Fl,Floridan A
583,-0.089625,Upper Guad,Guadalquiv
242,-0.01524,Eastern Fl,Floridan A
243,0.084125,Vidalia Up,Floridan A
244,-0.04998687,Bacon Terr,Floridan A
245,-0.05323143,Okefenokee,Floridan A
246,0.03144483,Upper Coas,Floridan A
584,0.02123798,Mioplioqua,-
247,-0.00948267,Lower Coas,Floridan A
248,-0.07032138,Sea Island,Floridan A
249,-0.01105477,Intermedia,Floridan A
250,0.0034798,Castle Hay,-
251,-0.0029845,Peedee and,-
554,-0.00807292,Sierra Gro,-
252,-0.00250371,Stockton P,Edwards-Tr
585,0.01972222,Don Bonito,-
253,0.02273275,Edwards Pl,Edwards-Tr
1569,0.68515625,Cuberta de,-
254,0.14201284,Balcones F,Edwards-Tr
255,0.1684,Hill Count,Edwards-Tr
256,0.04724126,Trinity Aq,Edwards-Tr
257,0.0108185,Pecos Vall,-
555,-0.014,Gandia-Den,-
258,0.08420574,Seymour-Bl,-
259,0.07780917,Garber-Wel,-
260,-0.03097344,Arbuckle-S,-
261,0.09177867,Tillman Te,-
262,-0.11084861,Vamoosa Ad,-
263,0.033909,Cimarron B,-
264,0.23198667,Enid Isola,-
265,0.06781767,Antlers Aq,-
266,0.02155338,Rush Sprin,-
267,0.060071,Elk City A,-
268,0.06798722,Canadian R,-
715,0.38628571,Damghan Se,-
269,0.13006251,Red River,-
556,0.03666667,Valencia P,-
270,-0.00446321,Pearl and,-
271,-0.0013208,Biscayne A,-
272,0.00697653,Connecticu,-
557,0.18,Castellon,-
558,0.04902778,Vinaroz Pl,-
273,-0.0585475,Southern P,Piedmont P
274,-0.02252133,Southcentr,Piedmont P
275,-0.01947333,Central Pi,Piedmont P
276,-0.00147573,Northcentr,Piedmont P
277,-0.004572,Northern P,Piedmont P
559,-0.041875,La Plana d,-
278,-0.053645,New Jersey,North Atla
560,0.014875,Ebro Delta,-
279,-0.0061361,Delmarva P,North Atla
280,0.07528525,Maryland W,North Atla
281,-0.00942109,North Caro,North Atla
282,-0.001524,Long Islan,-
283,-0.016637,Moulton Va,Interior L
284,-0.0279722,Southern H,Interior L
285,-0.09017,Eastern Hi,Interior L
286,-0.10211,Eastern Pe,Interior L
287,0.01513833,Mitchell P,Interior L
288,-0.039245,Shawnee Hi,Interior L
289,0.02247875,Western Ou,Interior L
290,0.00234462,Crawford U,Interior L
291,-0.06984958,Norman Upl,Interior L
292,0.00846667,Muscatatuc,-
293,-0.003302,Newcastle,Central Lo
294,-0.00152406,Bluffton T,Central Lo
295,-0.01148037,Columbus L,Central Lo
296,-0.0119888,Bellefonta,Central Lo
297,-0.02685143,Galion Gla,Central Lo
298,-0.025146,Illinoian,Central Lo
299,-0.01000125,Tipton Til,Central Lo
300,-0.0025146,Mount Vern,Central Lo
301,-0.00473612,Springfiel,Central Lo
302,-0.007366,Central Wa,Central Lo
303,0.01088571,Iroquois T,Central Lo
561,0.55337121,Pliocuater,-
304,-0.015621,Michigan B,-
305,-0.02154646,Silurian-D,-
306,-0.02439,Wisconsin,-
307,-0.02443163,Western Ka,-
308,-0.00907143,Eastern Ka,-
309,-0.02240927,Eastern Si,Northern M
310,-0.009906,Western Ca,Northern M
