Table 5,Characterization factors of the subbasins,Unnamed: 2,Unnamed: 3
,,,
HUC8 ID,Subbasin,Scaled Power Consumption (MWh),Characterization factor
2040105,Middle Delaware-Musconetcong,108580.91766560421,0.1
2040106,Lehigh,62277.459356811254,0.22711179136105433
2040201,Crosswicks-Neshaminy,84274.66422814752,0.1
2040202,Lower Delaware,262308.56161654653,0.1
2040203,Schuylkill,319103.4501671633,0.2576940364214682
2040204,0,0,0.1
2040205,Brandywine-Christina,61551.070161518015,0.33377863719596274
2040206,Cohansey-Maurice,30679.33569793591,0.3842225546303046
2040207,Broadkill-Smyrna,6303.634784595898,0.353200249484391
2040301,Mullica-Toms,127971.30014356118,0.32054330874866327
2040302,Great Egg Harbor,33166.19451349432,0.3554449811396367
2040303,Chincoteague,7451.686902443598,0.38579269271139266
2040304,0,1324.262118517184,0.4889927419912512
2050101,Upper Susquehanna,17341.336012203785,0.29385169238512865
2050102,Chenango,14524.335764913318,0.289209947220012
2050103,Owego-Wappasening,13592.46210072381,0.1
2050104,Tioga,5686.86135238678,0.39408799991575433
2050105,Chemung,8202.933995861351,0.1824306100610306
2050106,Upper Susquehanna-Tunkhannock,14624.280559900153,0.1
2050107,Upper Susquehanna-Lackawanna,36452.334753066105,0.1
2050201,Upper West Branch Susquehanna,10897.177098999238,0.2953556044581241
2050202,Sinnemahoning,1764.6665055914634,0.30415746912750075
2050203,Middle West Branch Susquehanna,1176.4443370940273,0.1
2050204,Bald Eagle,6643.078259398005,0.3070981492255881
2050205,Pine,3059.380609205862,0.3485601707531994
2050206,Lower West Branch Susquehanna,11035.143444108093,0.1
2050301,Lower Susquehanna-Penns,24130.592830031455,0.1
2050302,Upper Juniata,11456.252494899945,0.3211777507201726
2050303,Raystown,4901.851323796979,0.34730427073598363
2050304,Lower Juniata,11640.334469999169,0.14414833631751264
2050305,Lower Susquehanna-Swatara,55633.179428251664,0.1
2050306,Lower Susquehanna,86465.88917531354,0.1
2060002,Chester-Sassafras,31418.70408286177,0.38420198584531545
2060003,Gunpowder-Patapsco,154408.23221616895,0.38891611266967446
2060004,Severn,36658.61904377619,0.3737057768076266
2060005,Choptank,12403.26757871591,0.3942870521584971
2060006,Patuxent,73256.86219750381,0.37413435105096493
2070001,South Branch Potomac,2208.6092082328855,0.5075029045000755
2070002,North Branch Potomac,6210.848684706485,0.46346428713243726
2070003,Cacapon-Town,6178.148950904102,0.14753626438413672
2070004,Conococheague-Opequon,23877.27785909784,0.16794128334010058
2070005,South Fork Shenandoah,18756.859752062363,0.4312683590959588
2070006,North Fork Shenandoah,6428.99667506645,0.48628012193102343
2070007,Shenandoah,17779.52406514939,0.1
2070008,Middle Potomac-Catoctin,5107858.419138026,0.1
2070009,Monocacy,34817.99489091082,0.3663815912150755
2070010,Middle Potomac-Anacostia-Occoquan,2146653.689717295,0.1
2070011,Lower Potomac,43497.989631922326,0.1
2080102,Great Wicomico-Plankatank,19564.00189387396,0.4938436584245906
2080103,Rapidan-Upper Rappahannock,290560.6358699418,0.42486286132434986
2080104,Lower Rappahannock,12623.01618084957,0.19294391445508635
2080105,Mattaponi,16434.857172370637,0.4822550844642303
2080106,Pamunkey,15289.71384937313,0.4719872058403845
2080107,0,3894.3201875874447,0.1
2080108,0,14998.40637745884,0.1
2080109,Western Lower Delmarva,6539.589944216117,0.3709077068466751
2080110,Eastern Lower Delmarva,1324.262118517184,0.21569582201665946
2080111,0,6539.589944216117,0.43313284862954887
2080201,Upper James,5842.039357771688,0.4270174951680146
2080202,Maury,2059.9634031310975,0.3983795641539948
2080203,Middle James-Buffalo,14172.779251403132,0.1655486769737602
2080204,Rivanna,6138.142855139135,0.4058784826149585
2080205,Middle James-Willis,19520.397084466047,0.1
2080206,Lower James,834953.8454476164,0.1
2080207,Appomattox,16146.249340953367,0.475446132416055
2080208,Hampton Roads,135607.19248025224,0.1
3010101,Upper Roanoke,26349.480377019056,0.40749738124658486
3010102,Middle Roanoke,6257.157007790604,0.1
3010103,Upper Dan,21322.960954822618,0.38516384368479684
3010104,Lower Dan,9419.756258582387,0.13301160151827435
3010105,Banister,2033.0764173072334,0.4154035062550636
3010106,Roanoke Rapids,170329.72777508316,0.1
3010107,Lower Roanoke,16114.612808421496,0.1
3010201,Nottoway,10291.079737676899,0.44761341772377006
3010202,Blackwater,9297.139519108787,0.39400119652652504
3010203,Chowan,6975.686937802176,0.1
3010204,Meheriin,4547.913258720482,0.42454821312430113
3010205,Albemarle,38844.70808960317,0.3897085144202611
3020101,Upper Tar,10175.686569696578,0.4116284505923604
3020102,Fishing,2487.949613552869,0.43371666077085735
3020103,Lower Tar,7889.554929868903,0.11944896833251692
3020104,Pamlico,4265.056687892877,0.11029367511307483
3020105,0,3554.2139066435,0.3237983590196633
3020201,Upper Neuse,121849.98743568979,0.3754763037676584
3020202,Middle Neuse,6037.437939069637,0.1
3020203,Contentnea,10327.557806161862,0.3449021043204736
3020204,Lower Neuse,5331.320738847838,0.1
3020301,White Oak River,5293.801740120565,0.3057178555705112
3020302,New River,6400.4354861719785,0.2973982525225042
3030002,Haw,179203.97655816935,0.4132000826647273
3030003,Deep,29467.39273511121,0.4537872907630745
3030004,Upper Cape Fear,23591.02107758897,0.14134794910137924
3030005,Lower Cape Fear,9302.311247801485,0.1
3030006,Black,8966.890605216602,0.3607104911728897
3030007,Northeast Cape Fear,12925.908479843682,0.33442854369913905
3040101,Upper Yadkin,37481.58719831125,0.34025317890743445
3040102,South Yadkin,11946.344718196646,0.35018935659268013
3040103,Lower Yadkin,17068.602608943875,0.1
3040104,Upper Pee Dee,6590.766431732053,0.1
3040105,Rocky,72779.84308957525,0.3982773471517985
3040201,Lower Pee Dee,11541.174972057164,0.10687846425844456
3040202,Lynches,7865.306581226233,0.40293865045617067
3040203,Lumber,8477.070476277648,0.3557596345818126
3040204,Little Pee Dee,10102.464148236833,0.15688169555029624
3040205,Black,8966.890605216602,0.3819495145960813
