Program,Year,Period,Geo Level,State,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2023,YEAR,STATE,FLORIDA,"WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"25,374",54.1
CENSUS,2023,YEAR,STATE,FLORIDA,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"33,940",37.7
CENSUS,2023,YEAR,STATE,GEORGIA,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"24,471",61.4
CENSUS,2023,YEAR,STATE,HAWAII,"WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET",TOTAL,NOT SPECIFIED,887,86.9
CENSUS,2023,YEAR,STATE,HAWAII,"WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,465,69.7
CENSUS,2023,YEAR,STATE,IDAHO,"WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET",TOTAL,NOT SPECIFIED,"17,538",60.1
CENSUS,2023,YEAR,STATE,IDAHO,"WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"21,031",46.9
CENSUS,2023,YEAR,STATE,IDAHO,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"29,299",57.2
CENSUS,2023,YEAR,STATE,ILLINOIS,"WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET",TOTAL,NOT SPECIFIED,"1,050",99.8
CENSUS,2023,YEAR,STATE,ILLINOIS,"WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"2,100",99.8
CENSUS,2023,YEAR,STATE,ILLINOIS,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,802,68.1
CENSUS,2023,YEAR,STATE,INDIANA,"WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET",TOTAL,NOT SPECIFIED,794,96.7
CENSUS,2023,YEAR,STATE,INDIANA,"WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"4,760",98.3
CENSUS,2023,YEAR,STATE,INDIANA,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"1,207",72.5
CENSUS,2023,YEAR,STATE,KANSAS,"WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET",TOTAL,NOT SPECIFIED,"6,715",46.6
CENSUS,2023,YEAR,STATE,KANSAS,"WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"15,671",37.0
CENSUS,2023,YEAR,STATE,KANSAS,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"31,461",46.1
